"","name","duration","realtime","X.cpu","peak_rss","peak_vmem","rchar","wchar","dmr","samples","cpu_allocated","mem_allocated_gb","realtime_sec","peak_rss_mb"
"114","METH_ATLAS","38.9s","3.7s","164.7%","132 MB","1.5 GB","14.4 MB","552 KB",25,100,8,16,3.7,132
"115","EPIDISH_RPC","38.4s","2.4s","100.7%","218.8 MB","1.4 GB","14.8 MB","14.3 KB",25,100,8,16,2.4,218.8
"116","CIBERSORT","38.2s","12.4s","130.3%","105 MB","1.2 GB","21.1 MB","3 MB",25,100,8,16,12.4,105
"117","EPISCORE","37.8s","10.8s","61.3%","509.5 MB","1.7 GB","32.3 MB","5.2 KB",25,100,8,16,10.8,509.5
"118","PRMETH","37.6s","4.1s","62.6%","74.5 MB","1.3 GB","6.3 MB","5.1 KB",25,100,8,16,4.1,74.5
"119","METDECODE","39.7s","15s","87.1%","486.4 MB","3.8 GB","64.9 MB","5.4 KB",25,100,8,16,15,486.4
"120","EPIDISH_ineq","38.7s","2.1s","106.3%","131.4 MB","1.2 GB","15.7 MB","17.9 KB",500,100,8,16,2.1,131.4
"121","EPIDISH_ineq","3s","2.1s","103.8%","129.8 MB","1.2 GB","14.9 MB","9.3 KB",50,50,8,16,2.1,129.8
"122","CELFIE","4.6s","1.9s","78.5%","32 MB","381.5 MB","9.2 MB","9.3 KB",100,5,8,16,1.9,32
"123","EPIDISH_RPC","34.4s","2.4s","100.5%","207.1 MB","1.2 GB","14.8 MB","1.4 KB",100,5,8,16,2.4,207.1
"124","PRMETH","34.2s","1.8s","116.1%","69.6 MB","1.3 GB","6.3 MB","718 B",100,5,8,16,1.8,69.6
"125","METH_ATLAS","34s","3.6s","146.9%","76 MB","864.6 MB","13.9 MB","93.7 KB",100,5,8,16,3.6,76
"126","EPISCORE","33.9s","6.3s","94.1%","368.4 MB","1.4 GB","32.3 MB","748 B",100,5,8,16,6.3,368.4
"127","CIBERSORT","33.3s","2.1s","122.0%","74.2 MB","1.2 GB","13 MB","491.2 KB",100,5,8,16,2.1,74.2
"128","METDECODE","39.6s","12.2s","50.8%","521.7 MB","4 GB","64.9 MB","1.2 KB",100,5,8,16,12.2,521.7
"129","UXM","39.8s","8.2s","232.7%","803.9 MB","6.7 GB","160.2 MB","289.8 KB",100,5,8,16,8.2,803.9
"130","EPIDISH_ineq","4.1s","2.1s","104.7%","133.1 MB","1.2 GB","14.8 MB","4.1 KB",50,20,8,16,2.1,133.1
"131","UXM","35.1s","25.6s","417.7%","778.6 MB","6.3 GB","1.2 GB","1.6 MB",50,100,8,16,25.6,778.6
"132","EPISCORE","38.9s","5.8s","94.4%","459.5 MB","1.5 GB","32.3 MB","5.1 KB",50,100,8,16,5.8,459.5
"133","CIBERSORT","38.7s","10.8s","154.8%","105.7 MB","1.2 GB","23.3 MB","5.2 MB",50,100,8,16,10.8,105.7
"134","METH_ATLAS","38.5s","8.7s","72.6%","1.4 GB","17 GB","14.8 MB","957.7 KB",50,100,8,16,8.7,1433.6
"135","PRMETH","38.3s","3.3s","108.6%","86.3 MB","1.3 GB","6.4 MB","5.2 KB",50,100,8,16,3.3,86.3
"136","EPIDISH_RPC","38.2s","2.5s","102.8%","209.8 MB","1.2 GB","14.9 MB","14 KB",50,100,8,16,2.5,209.8
"137","CELFIE","34.8s","2.9s","85.4%","56 MB","409.4 MB","9.2 MB","14.8 KB",50,100,8,16,2.9,56
"138","METDECODE","1m 10s","35.4s","43.7%","529.3 MB","4.5 GB","65 MB","5.5 KB",50,100,8,16,35.4,529.3
"139","UXM","35.9s","13.2s","403.0%","643.4 MB","5.2 GB","587.9 MB","4.8 MB",500,20,8,16,13.2,643.4
"140","EPIDISH_RPC","4.6s","2.3s","102.3%","209.3 MB","1.4 GB","15.1 MB","3.3 KB",500,20,8,16,2.3,209.3
"141","CELFIE","4.7s","2s","95.0%","52 MB","397.6 MB","9.3 MB","44.4 KB",500,20,8,16,2,52
"142","PRMETH","39.4s","4.5s","107.9%","73.2 MB","1.4 GB","6.5 MB","1.4 KB",500,20,8,16,4.5,73.2
"143","METH_ATLAS","39.8s","3.4s","140.6%","80.5 MB","865 MB","15.7 MB","1.6 MB",500,20,8,16,3.4,80.5
"144","CIBERSORT","39.2s","4.4s","164.4%","220.1 MB","2.4 GB","22.4 MB","8.8 MB",500,20,8,16,4.4,220.1
"145","EPISCORE","38.9s","6.2s","124.2%","442.3 MB","1.5 GB","32.5 MB","1.4 KB",500,20,8,16,6.2,442.3
"146","METDECODE","34.8s","12.6s","115.8%","518 MB","4.8 GB","65.1 MB","2.3 KB",500,20,8,16,12.6,518
"147","EPIDISH_ineq","3.5s","2.1s","102.9%","134.1 MB","1.2 GB","14.8 MB","17.8 KB",25,100,8,16,2.1,134.1
"148","EPIDISH_ineq","38.2s","2.1s","103.4%","135.9 MB","1.2 GB","14.8 MB","4.1 KB",25,20,8,16,2.1,135.9
"149","EPIDISH_ineq","4.2s","2.1s","105.0%","133.6 MB","1.2 GB","14.9 MB","1.6 KB",500,5,8,16,2.1,133.6
"150","EPIDISH_eq","3.8s","2.3s","103.8%","133.8 MB","1.2 GB","15.7 MB","17.9 KB",500,100,8,16,2.3,133.8
"151","EPIDISH_ineq","4.2s","2.1s","104.9%","135.6 MB","1.2 GB","14.9 MB","4.1 KB",100,20,8,16,2.1,135.6
"152","UXM","33.5s","23.3s","460.4%","734.8 MB","6.2 GB","1.2 GB","5.7 MB",250,50,8,16,23.3,734.8
"153","EPISCORE","39.5s","6.8s","93.7%","501.4 MB","1.7 GB","32.5 MB","2.8 KB",250,50,8,16,6.8,501.4
"154","CIBERSORT","39.3s","7.1s","169.6%","110.6 MB","1.2 GB","26.6 MB","11.2 MB",250,50,8,16,7.1,110.6
"155","METH_ATLAS","39.2s","3.8s","156.7%","401.2 MB","4.6 GB","16.1 MB","2.1 MB",250,50,8,16,3.8,401.2
"156","PRMETH","39.1s","3.8s","108.4%","88.3 MB","1.4 GB","6.5 MB","2.8 KB",250,50,8,16,3.8,88.3
"157","EPIDISH_RPC","38.9s","2.4s","102.9%","226.1 MB","1.4 GB","15 MB","7.4 KB",250,50,8,16,2.4,226.1
"158","METDECODE","34.9s","16s","115.9%","571.3 MB","4.8 GB","65.1 MB","3.7 KB",250,50,8,16,16,571.3
"159","CELFIE","34.7s","3s","86.4%","56 MB","440.4 MB","9.3 MB","26.5 KB",250,50,8,16,3,56
"160","UXM","36.4s","14.1s","386.8%","746.9 MB","6.3 GB","574.3 MB","2.6 MB",250,20,8,16,14.1,746.9
"161","CELFIE","4.7s","2.2s","81.0%","36 MB","380 MB","9.2 MB","23.4 KB",250,20,8,16,2.2,36
"162","EPISCORE","39.6s","6.3s","93.4%","387.6 MB","1.4 GB","32.4 MB","1.4 KB",250,20,8,16,6.3,387.6
"163","EPIDISH_RPC","39.3s","2.3s","101.8%","219.7 MB","1.4 GB","14.9 MB","3.4 KB",250,20,8,16,2.3,219.7
"164","CIBERSORT","39.5s","3.7s","151.4%","107.1 MB","1.2 GB","18 MB","4.5 MB",250,20,8,16,3.7,107.1
"165","PRMETH","39.1s","2.8s","110.8%","71.7 MB","1.4 GB","6.4 MB","1.4 KB",250,20,8,16,2.8,71.7
"166","METH_ATLAS","39s","3.7s","148.9%","293.7 MB","3.3 GB","14.7 MB","843.8 KB",250,20,8,16,3.7,293.7
"167","METDECODE","34.9s","15.1s","97.0%","478.4 MB","3.8 GB","65 MB","2.1 KB",250,20,8,16,15.1,478.4
"168","EPIDISH_ineq","4.1s","2.1s","102.6%","137 MB","1.2 GB","14.9 MB","4.1 KB",250,20,8,16,2.1,137
"169","EPIDISH_eq","4s","2.2s","103.7%","107 MB","1.1 GB","15.1 MB","9.3 KB",250,50,8,16,2.2,107
"170","EPIDISH_ineq","4.2s","2.1s","104.1%","133.1 MB","1.2 GB","15.1 MB","4.1 KB",500,20,8,16,2.1,133.1
"171","EPIDISH_ineq","4.1s","1.7s","114.2%","136.5 MB","1.2 GB","14.8 MB","1.6 KB",100,5,8,16,1.7,136.5
"172","EPIDISH_eq","4.2s","2.1s","104.3%","133.1 MB","1.2 GB","14.9 MB","4.1 KB",250,20,8,16,2.1,133.1
"173","UXM","41.6s","26.9s","413.5%","700.8 MB","5.9 GB","1.2 GB","2.9 MB",100,100,8,16,26.9,700.8
"174","CIBERSORT","39.8s","10.8s","158.0%","109.7 MB","1.2 GB","27.7 MB","9.5 MB",100,100,8,16,10.8,109.7
"175","METH_ATLAS","39.3s","3.6s","171.4%","137.7 MB","1.5 GB","15.7 MB","1.7 MB",100,100,8,16,3.6,137.7
"176","EPIDISH_RPC","39.1s","2.5s","103.1%","215.3 MB","1.4 GB","15 MB","14.1 KB",100,100,8,16,2.5,215.3
"177","PRMETH","39s","3.5s","108.3%","91 MB","1.3 GB","6.5 MB","5.1 KB",100,100,8,16,3.5,91
"178","EPISCORE","38.9s","6.5s","94.7%","398.9 MB","1.5 GB","32.4 MB","5 KB",100,100,8,16,6.5,398.9
"179","METDECODE","34.8s","15.8s","107.1%","478.6 MB","3.8 GB","65.1 MB","5.7 KB",100,100,8,16,15.8,478.6
"180","CELFIE","34.7s","3.1s","92.0%","58 MB","412.5 MB","9.3 MB","19 KB",100,100,8,16,3.1,58
"181","EPIDISH_eq","4.2s","2.1s","104.2%","132.9 MB","1.2 GB","14.9 MB","1.6 KB",500,5,8,16,2.1,132.9
"182","EPIDISH_ineq","4.1s","2.1s","103.4%","129.7 MB","1.2 GB","14.9 MB","1.6 KB",250,5,8,16,2.1,129.7
"183","EPIDISH_RPC","39.7s","6.2s","40.1%","178.2 MB","1.2 GB","14.8 MB","1.3 KB",25,5,8,16,6.2,178.2
"184","CIBERSORT","39.5s","5.5s","46.9%","97.3 MB","1.2 GB","12.6 MB","157.1 KB",25,5,8,16,5.5,97.3
"185","PRMETH","39.4s","3.5s","39.0%","68.8 MB","1.3 GB","6.3 MB","725 B",25,5,8,16,3.5,68.8
"186","METH_ATLAS","39.2s","10.6s","49.0%","904.4 MB","11.1 GB","13.8 MB","32.6 KB",25,5,8,16,10.6,904.4
"187","EPISCORE","39.1s","12.1s","52.2%","441.3 MB","1.5 GB","32.2 MB","719 B",25,5,8,16,12.1,441.3
"188","CELFIE","39.1s","1.9s","77.4%","34 MB","381.5 MB","9.2 MB","3 KB",25,5,8,16,1.9,34
"189","UXM","39.7s","8.9s","213.5%","789.7 MB","6.7 GB","157.5 MB","121.9 KB",25,5,8,16,8.9,789.7
"190","METDECODE","1m 39s","49.9s","15.8%","546.6 MB","4 GB","64.9 MB","1.2 KB",25,5,8,16,49.9,546.6
"191","UXM","33.4s","22.7s","479.0%","639 MB","5.5 GB","1.2 GB","10.4 MB",500,50,8,16,22.7,639
"192","EPIDISH_RPC","3.9s","2.1s","105.2%","133.6 MB","1.2 GB","15.3 MB","7.4 KB",500,50,8,16,2.1,133.6
"193","CELFIE","4.7s","3.4s","97.7%","63.7 MB","443.5 MB","9.5 MB","47.4 KB",500,50,8,16,3.4,63.7
"194","CIBERSORT","39.6s","8.1s","180.8%","228.8 MB","2.4 GB","37.6 MB","22 MB",500,50,8,16,8.1,228.8
"195","PRMETH","39.2s","5s","107.0%","88.4 MB","1.4 GB","6.8 MB","2.8 KB",500,50,8,16,5,88.4
"196","METH_ATLAS","39.5s","3s","155.2%","80 MB","735.9 MB","18.3 MB","4 MB",500,50,8,16,3,80
"197","EPISCORE","39.1s","6s","152.2%","511.4 MB","1.7 GB","32.8 MB","2.8 KB",500,50,8,16,6,511.4
"198","METDECODE","34.8s","13s","140.4%","522.4 MB","4.7 GB","65.3 MB","3.7 KB",500,50,8,16,13,522.4
"199","EPIDISH_eq","3.8s","2.1s","103.2%","133.2 MB","1.2 GB","14.9 MB","9.3 KB",50,50,8,16,2.1,133.2
"200","EPIDISH_eq","4.1s","2.1s","103.2%","131.8 MB","1.2 GB","15.1 MB","4.1 KB",500,20,8,16,2.1,131.8
