sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.5_20000000_rep10,1.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep2,0.9987,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep3,0.9986,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep4,0.994,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep5,0.9954,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep7,0.9979,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep8,0.9964,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.9955,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep1,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep10,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep2,0.0011,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep3,0.0004,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep4,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep5,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep6,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep7,0.0024,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep8,0.0002,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep9,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0.0001_20000000_rep1,0.0025021078810645,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep10,0.0007735970551422,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep3,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep4,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep5,0.0002182637399927,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep6,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep7,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep8,0.0019095304151855,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep9,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.001_20000000_rep1,0.0030499212402642,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep10,0.0030886484226141,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep2,0.0023087167611968,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep3,0.0020097534461649,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep4,0.0027238820829742,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep5,0.0029701363166032,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep6,0.0018659134547325,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep7,0.0011361426958336,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep8,0.0028453513522335,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep9,0.0018963365597066,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep1,0.00812921722799,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep10,0.0074907842125173,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep2,0.0098040114495722,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep3,0.0096786613829869,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep4,0.0093649755268697,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep5,0.0062256023706219,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.003
