"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"210","EpiDISH_CP_eq","wgbstools","LUAD","62M",0.05,3
"211","UXM","wgbstools","LUAD","620M",0.007,5
"212","MetDecode","wgbstools","LUAD","620M",0.01,6
"213","CelFiE","wgbstools","LUAD","620M",0.001,1
"214","EpiDISH_RPC","wgbstools","LUAD","620M",0.1,8
"215","meth_atlas","wgbstools","LUAD","620M",0.01,6
"216","EpiSCORE","wgbstools","LUAD","620M",0.1,8
"217","PRMeth","wgbstools","LUAD","620M",0.001,1
"218","CIBERSORT","wgbstools","LUAD","620M",0.1,8
"219","EpiDISH_CP_eq","wgbstools","LUAD","620M",0.001,1
"220","EpiDISH_CP_ineq","wgbstools","LUAD","620M",0.001,1
"221","UXM","limma","LUAD","620M",0.007,1
"222","MetDecode","limma","LUAD","620M",0.025,6
"223","CelFiE","limma","LUAD","620M",0.007,1
"224","EpiDISH_RPC","limma","LUAD","620M",0.025,6
"225","meth_atlas","limma","LUAD","620M",0.025,6
"226","EpiSCORE","limma","LUAD","620M",0.025,6
"227","PRMeth","limma","LUAD","620M",0.007,1
"228","CIBERSORT","limma","LUAD","620M",0.025,6
"229","EpiDISH_CP_eq","limma","LUAD","620M",0.007,1
"230","EpiDISH_CP_ineq","limma","LUAD","620M",0.007,1
"231","UXM","DMRfinder","LUAD","620M",0.025,7
"232","MetDecode","DMRfinder","LUAD","620M",0.01,3
"233","CelFiE","DMRfinder","LUAD","620M",0.01,3
"234","EpiDISH_RPC","DMRfinder","LUAD","620M",0.5,8
"235","meth_atlas","DMRfinder","LUAD","620M",0.01,3
"236","EpiSCORE","DMRfinder","LUAD","620M",0.5,8
"237","PRMeth","DMRfinder","LUAD","620M",0.01,3
"238","CIBERSORT","DMRfinder","LUAD","620M",0.5,8
"239","EpiDISH_CP_eq","DMRfinder","LUAD","620M",0.007,1
"240","EpiDISH_CP_ineq","DMRfinder","LUAD","620M",0.007,1
"241","MetDecode","DMRfinder","LUSC","620M",0.007,2
"242","CelFiE","DMRfinder","LUSC","620M",0.003,1
"243","UXM","DMRfinder","LUSC","620M",0.01,6
"244","CIBERSORT","DMRfinder","LUSC","620M",0.5,10
"245","EpiSCORE","DMRfinder","LUSC","620M",0.05,7
"246","meth_atlas","DMRfinder","LUSC","620M",0.007,2
"247","EpiDISH_RPC","DMRfinder","LUSC","620M",0.05,7
"248","PRMeth","DMRfinder","LUSC","620M",0.25,9
"249","EpiDISH_CP_ineq","DMRfinder","LUSC","620M",0.007,2
"250","EpiDISH_CP_eq","DMRfinder","LUSC","620M",0.007,2
"251","MetDecode","wgbstools","LUSC","620M",0.007,2
"252","CelFiE","wgbstools","LUSC","620M",0.003,1
"253","UXM","wgbstools","LUSC","620M",0.01,7
"254","CIBERSORT","wgbstools","LUSC","620M",0.5,10
"255","EpiSCORE","wgbstools","LUSC","620M",0.1,8
"256","meth_atlas","wgbstools","LUSC","620M",0.007,2
"257","EpiDISH_RPC","wgbstools","LUSC","620M",0.25,9
"258","PRMeth","wgbstools","LUSC","620M",0.007,2
"259","EpiDISH_CP_ineq","wgbstools","LUSC","620M",0.007,2
"260","EpiDISH_CP_eq","wgbstools","LUSC","620M",0.007,2
"261","MetDecode","limma","LUSC","620M",0.001,1
"262","CelFiE","limma","LUSC","620M",0.007,2
"263","UXM","limma","LUSC","620M",0.025,7
"264","CIBERSORT","limma","LUSC","620M",0.025,7
"265","EpiSCORE","limma","LUSC","620M",0.025,7
"266","meth_atlas","limma","LUSC","620M",0.007,2
"267","EpiDISH_RPC","limma","LUSC","620M",0.025,7
"268","PRMeth","limma","LUSC","620M",0.01,6
"269","EpiDISH_CP_ineq","limma","LUSC","620M",0.007,2
"270","EpiDISH_CP_eq","limma","LUSC","620M",0.007,2
"271","EpiDISH_CP_ineq","DMRfinder","LUSC","62M",0.05,4
"272","EpiDISH_CP_eq","DMRfinder","LUSC","62M",0.01,1
"273","UXM","DMRfinder","LUSC","62M",0.025,3
"274","MetDecode","DMRfinder","LUSC","62M",0.05,4
"275","CelFiE","DMRfinder","LUSC","62M",0.01,1
"276","meth_atlas","DMRfinder","LUSC","62M",0.05,4
"277","EpiDISH_RPC","DMRfinder","LUSC","62M",0.25,7
"278","EpiSCORE","DMRfinder","LUSC","62M",0.25,7
"279","PRMeth","DMRfinder","LUSC","62M",1,9
"280","CIBERSORT","DMRfinder","LUSC","62M",1,9
"281","EpiDISH_CP_ineq","wgbstools","LUSC","62M",0.025,2
"282","EpiDISH_CP_eq","wgbstools","LUSC","62M",0.025,2
"283","UXM","wgbstools","LUSC","62M",0.025,2
"284","MetDecode","wgbstools","LUSC","62M",0.025,2
"285","CelFiE","wgbstools","LUSC","62M",0.01,1
"286","meth_atlas","wgbstools","LUSC","62M",0.025,2
"287","EpiDISH_RPC","wgbstools","LUSC","62M",0.5,9
"288","EpiSCORE","wgbstools","LUSC","62M",0.25,8
"289","PRMeth","wgbstools","LUSC","62M",0.025,2
